id,source_id,title,datetime,top_article,reactions,comments,shares,comment_plugin
1521,business-insider,Netflix is aggressively denying reports that it's shifting its TV release strategy toward a weekly schedule,2019-09-05 13:49:49+00:00,False,67.0,12.0,23.0,0.0
1522,reuters,"Bank of Canada says economy resilient, gives no clue on rate cuts",2019-09-05 16:08:05+00:00,False,0.0,0.0,0.0,0.0
1523,newsweek,"'NBA 2K20' Release Time - When Can You Download the PS4, Xbox, Switch Game?",2019-09-05 07:00:01+00:00,False,0.0,0.0,3.0,0.0
1524,cnn,Rafael Nadal moves step closer to closing down Roger Federer's grand slam record,2019-09-05 09:36:00+00:00,False,14.0,0.0,68.0,0.0
1525,cnn,Live commentary on the climate change town hall (opinion)  - CNN,2019-09-05 05:19:10+00:00,True,0.0,0.0,0.0,0.0
1526,bbc-news,Ken Clarke: Five decades in Parliament,2019-09-05 11:42:07+00:00,False,741.0,602.0,135.0,0.0
1527,cnn,Michigan State University fined record $4.5 million for Nassar sexual abuse scandal,2019-09-05 17:06:44+00:00,False,0.0,0.0,11.0,0.0
1528,reuters,Bayer says Monsanto's list of influential people was not illegal,2019-09-05 15:07:40+00:00,False,0.0,0.0,0.0,0.0
1529,the-irish-times,Steve Smith reminds Archer who the phenomenon is around here,2019-09-05 09:05:32+00:00,False,0.0,0.0,0.0,0.0
1530,the-irish-times,Kevin Thornton curates festival food area for Féile,2019-09-05 14:18:07+00:00,False,0.0,0.0,0.0,0.0
1531,newsweek,Jay Inslee Won the 2020 Presidential Climate Change Town Hall and Four More Takeaways,2019-09-05 16:47:09+00:00,False,0.0,0.0,1.0,0.0
1532,cnn,See the extensive damage from the ground in the Bahamas,2019-09-05 12:35:17+00:00,False,7.0,1.0,28.0,0.0
1533,reuters,UK and Israeli leaders agree on need to stop Iran getting nuclear weapon,2019-09-05 14:46:54+00:00,False,0.0,0.0,14.0,0.0
1534,bbc-news,"Yahoo email fault hits BT, Sky and TalkTalk customers",2019-09-05 12:29:45+00:00,False,566.0,460.0,433.0,0.0
1535,the-irish-times,What’s the beef? Why farmers are locking horns with processors,2019-09-05 10:34:23+00:00,False,0.0,0.0,1.0,0.0
1536,newsweek,Drinking This Much Coffee Could Protect Against Gallstones,2019-09-05 09:46:00+00:00,False,5.0,1.0,11.0,0.0
1537,bbc-news,Human trafficking trial: Witness refuses to give evidence,2019-09-05 13:57:54+00:00,False,0.0,0.0,2.0,0.0
1538,the-new-york-times,They Wanted a Downtown Loft With Few Walls. Which One Would You Choose?,2019-09-05 09:03:46+00:00,False,0.0,0.0,7.0,0.0
1539,bbc-news,Jio Fiber: Free TVs with India's latest broadband service,2019-09-05 11:32:58+00:00,False,47.0,5.0,34.0,0.0
1540,newsweek,Fully Functional F-16 Fighter Jet for Sale in Florida,2019-09-05 15:51:07+00:00,False,0.0,0.0,0.0,0.0
1541,abc-news,First day of school for 4-year-old UK Princess Charlotte,2019-09-05 13:31:09+00:00,False,0.0,0.0,0.0,0.0
1542,cnn,Can anyone stop Tom Brady and the New England Patriots? 2019 NFL season preview with former player Coy Wire,2019-09-05 09:48:08+00:00,False,15.0,105.0,68.0,0.0
1543,bbc-news,Huddersfield Town given FA fine after Paddy Power kit breaks advertising rules,2019-09-05 15:18:04+00:00,False,224.0,147.0,40.0,0.0
1544,reuters,GM will use Google to power future infotainment systems,2019-09-05 14:10:02+00:00,False,0.0,0.0,0.0,0.0
1545,cbs-news,"""Our primary mission is to save a life"": Coast Guard rescues dozens in Bahamas",2019-09-05 00:42:01+00:00,False,1984.0,152.0,414.0,0.0
1546,cnn,Russia's MAKS airshow showcases aviation hardware and vintage Soviet jets,2019-09-05 11:24:41+00:00,False,144.0,4.0,109.0,0.0
1547,al-jazeera-english,Iran to boost Uranium enrichment,2019-09-05 14:00:34+00:00,False,0.0,0.0,7.0,0.0
1548,the-wall-street-journal,Authorities Suspect Man of Making and Selling Gun Used in Texas Shooting - The Wall Street Journal,2019-09-05 00:13:00+00:00,False,480.0,492.0,174.0,0.0
1549,newsweek,'Avengers' Star Jeremy Renner Shuts Down App After Being Overrun By Trolls,2019-09-05 10:48:08+00:00,False,0.0,0.0,0.0,0.0
1550,the-new-york-times,How to Safeguard Children Against Cyberbullying,2019-09-05 09:00:02+00:00,False,116.0,61.0,92.0,0.0
1551,abc-news,Pence's stay at Trump property in Ireland is focus of Senate Democrat inquiry,2019-09-05 15:25:34+00:00,True,1111.0,815.0,159.0,0.0
1552,the-new-york-times,"As Hong Kong Protesters Push On, No Sign of More Concessions by Government",2019-09-05 11:11:32+00:00,False,4.0,0.0,30.0,0.0
1553,the-irish-times,"Analysts cautious on CRH’s margin target, Deutsche Bank says",2019-09-05 14:57:06+00:00,False,0.0,0.0,0.0,0.0
1554,cbs-news,Gender-based violence and attacks against foreigners grip South Africa,2019-09-05 17:12:55+00:00,True,0.0,0.0,4.0,0.0
1555,the-new-york-times,Education Department Hits Michigan State with Record Fine Over Nassar Scandal,2019-09-05 15:49:00+00:00,False,447.0,85.0,164.0,0.0
1556,the-new-york-times,"As Brexit Battle Continues, Jo Johnson (Boris’s Brother) Quits as a Lawmaker",2019-09-05 11:07:04+00:00,True,178.0,63.0,77.0,0.0
1557,cbs-news,NYPD arrests plunge since cop fired for chokehold death,2019-09-05 11:21:21+00:00,False,459.0,821.0,98.0,0.0
1558,bbc-news,Nigel Adkins: Huddersfield Town offer managerial position to former Hull City boss,2019-09-05 12:19:06+00:00,False,523.0,294.0,44.0,0.0
1559,reuters,NCLT approves JSW Steel's takeover of bankrupt Bhushan Power,2019-09-05 14:47:14+00:00,False,0.0,0.0,0.0,0.0
1560,the-new-york-times,"5 Years, 28 People, 1 Song: No One Writes Quite Like Bon Iver.",2019-09-05 09:00:10+00:00,False,68.0,18.0,56.0,0.0
1561,the-irish-times,Kennedy Wilson buys Half Moon Street in Cork for €36.3m,2019-09-05 11:56:22+00:00,False,0.0,0.0,3.0,0.0
1562,cnn,"Tyrannosaurus rex had a built-in air conditioner, study says",2019-09-05 10:21:01+00:00,False,762.0,245.0,199.0,0.0
1563,cnn,The Point: Trump's Alabama obsession reveals a very deep flaw,2019-09-05 15:29:54+00:00,False,2523.0,2971.0,557.0,0.0
1564,abc-news,Disney Doodle: Dr. Facilier Makes ‘Friends on the Other Side’ at The Haunted Mansion,2019-09-05 13:00:19+00:00,False,381.0,24.0,38.0,0.0
1565,cbs-news,Hurricane Dorian lashes South Carolina,2019-09-05 15:12:32+00:00,False,0.0,0.0,0.0,0.0
1566,cbs-news,Hurricane Dorian bashes the South Carolina coast,2019-09-05 11:20:59+00:00,False,3.0,0.0,2.0,0.0
1567,reuters,U.S. 30-year mortgage rates hit lowest since Oct 2016 - Freddie Mac,2019-09-05 14:48:43+00:00,False,0.0,0.0,3.0,0.0
1568,bbc-news,Billie Piper: Trying to have it all is very 'stressful',2019-09-05 13:21:11+00:00,False,1.0,1.0,15.0,0.0
1569,cnn,"The best things to do in Cartagena, Colombia",2019-09-05 12:59:19+00:00,False,81.0,15.0,34.0,0.0
1570,cbs-news,"Andrew Yang: ""The American Dream is dying by the numbers""",2019-09-05 12:38:28+00:00,False,4.0,2.0,8.0,0.0
1571,cbs-news,Man arrested in connection to Mac Miller's death,2019-09-05 02:02:33+00:00,False,59.0,26.0,68.0,0.0
1572,business-insider,8 times renting has made me feel like the luckiest person in the world,2019-09-05 16:26:15+00:00,False,0.0,0.0,0.0,0.0
1573,the-new-york-times,Your Thursday Briefing,2019-09-05 09:34:41+00:00,False,1.0,1.0,36.0,0.0
1574,abc-news,Coroner: Pennsylvania inmate's mysterious death was natural,2019-09-05 17:08:11+00:00,False,0.0,0.0,0.0,0.0
1575,abc-news,French judges drop case against Air France for 2009 crash,2019-09-05 10:14:24+00:00,False,0.0,0.0,4.0,0.0
1576,bbc-news,Facebook confirms millions of phone numbers exposed,2019-09-05 12:35:47+00:00,False,46.0,23.0,159.0,0.0
1577,reuters,Exclusive: Exxon agrees to sell Norway oil and gas assets for $4 billion - sources,2019-09-05 15:48:00+00:00,False,0.0,0.0,0.0,0.0
1578,cnn,"Loch Ness monster might be giant eel, scientists say",2019-09-05 14:16:42+00:00,False,7.0,2.0,108.0,0.0
1579,cbs-news,Man charged in connection with Mac Miller's overdose death,2019-09-05 00:32:36+00:00,False,6.0,10.0,6.0,0.0
1580,newsweek,An MS-13 'Triggerman' on Joining the Gang and Why He Left: 'I Had to Kill a Lot of People',2019-09-05 06:00:01+00:00,False,17.0,4.0,14.0,0.0
1581,cnn,"Today in markets: Trade relief, and the lowest interest rates in 5,000 years",2019-09-05 11:23:16+00:00,False,3.0,0.0,18.0,0.0
1582,the-new-york-times,DealBook Briefing: Is U.S. Ready to Rein In Big Tech? - The New York Times,2019-09-05 10:34:00+00:00,False,1.0,0.0,9.0,0.0
1583,al-jazeera-english,South Africa shuts embassy in Nigeria after reprisal attacks,2019-09-05 10:03:53+00:00,False,1018.0,790.0,442.0,0.0
1584,cbs-news,Trump insists Dorian threatened Alabama as #SharpieGate trends,2019-09-05 16:36:05+00:00,True,446.0,463.0,80.0,0.0
1585,cbs-news,British PM Johnson's brother quits as lawmaker over Brexit,2019-09-05 12:08:57+00:00,False,419.0,110.0,74.0,0.0
